"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1",2020-01-02,12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"2",2020-01-05,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"3",2020-01-08,22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"4",2020-01-11,3,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"5",2020-01-14,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"6",2020-01-17,19,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"7",2020-01-20,8,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"8",2020-01-23,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"9",2020-01-26,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"10",2020-01-29,7,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"11",2020-02-01,24,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"12",2020-02-04,5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"13",2020-02-07,9,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"14",2020-02-10,14,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"15",2020-02-13,11,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"16",2020-02-16,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"17",2020-02-19,13,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"18",2020-02-22,33,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"19",2020-02-25,17,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"20",2020-02-28,15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"21",2020-03-06,44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"22",2020-03-09,18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"23",2020-03-12,10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
